soc_code,occupation_title,aioe_score,aioe_zscore,routine_cognitive,social_interpersonal,physical_manual,creative_adaptive,n_activities,education_level,college_required,annual_median_wage,log_wage,wage_percentile
47-2171,Reinforcing Iron and Rebar Workers,-1.970997,-1.9709969948085972,0.18613878102313017,0.2648151274691879,0.2525747087624514,0.21602228600371431,41.0,1.6765090909090907,0,59280.0,10.990027259969969,51.07090103397341
47-2181,Roofers,-1.752941,-1.7529409946253744,0.17552913020716474,0.27036122952658737,0.25532869643257794,0.20477152045471542,41.0,2.1537580243321393,0,50970.0,10.838992503334087,40.361890694239285
47-2211,Sheet Metal Workers,-1.174972,-1.1749719941397323,0.18927172541990306,0.27982473610834496,0.24809134966474142,0.19737104162517427,41.0,1.9935006499350063,0,60850.0,11.016167098415673,54.61595273264401
47-2221,Structural Iron and Steel Workers,-1.780065,-1.7800649946481655,0.1819965870307167,0.24948805460750853,0.27013651877133105,0.21911262798634812,41.0,1.8050831280508313,0,62700.0,11.046116726621012,58.49335302806499
47-2231,Solar Photovoltaic Installers,-0.9441692,-0.9441691939457989,0.20166909118750476,0.24316667942730263,0.2820610979251206,0.19508460301661434,41.0,2.4431284144312837,0,51860.0,10.856303059092655,41.69128508124077
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",-1.94229,-1.942289994784476,0.1919019798766634,0.24050632911392406,0.26444336254462836,0.21949042518662773,41.0,1.9979636363636364,0,46480.0,10.746777391525793,27.10487444608567
47-3012,Helpers--Carpenters,-1.425282,-1.4252819943500568,0.1845429774585088,0.23763520766245563,0.2999752291305425,0.21443315993724713,41.0,1.8266909090909094,0,41600.0,10.635855446249355,18.870014771048744
47-3013,Helpers--Electricians,-1.506896,-1.5068959944186335,0.2042744510327751,0.26376490519319734,0.2620707630155731,0.19964813970157033,41.0,1.8522909090909092,0,39890.0,10.593880944899452,15.435745937961595
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",-2.04484,-2.0448399948706446,0.18839285714285714,0.2816468253968254,0.2729166666666667,0.20188492063492067,41.0,1.295418181818182,0,38140.0,10.54901887915441,11.299852289512554
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",-1.678876,-1.6788759945631408,0.17871048123345273,0.24567824326428908,0.2661579193272076,0.20830088771219438,41.0,2.4381074471083473,0,39270.0,10.578216147572055,14.549483013293942
47-3016,Helpers--Roofers,-1.89822,-1.8982199947474458,0.18236064619414932,0.27543297918789117,0.24508805122980645,0.20513753456556544,41.0,2.768976897689769,0,40590.0,10.611277009832943,16.838995568685377
47-4011,Construction and Building Inspectors,0.2860245,0.2860245070878791,0.22861319203361963,0.2566782386259821,0.20540836835373655,0.19488397588160059,82.0,2.7525090909090912,0,72120.0,11.186086677317254,68.94387001477105
47-4021,Elevator Installers and Repairers,-0.8604742,-0.8604741938754735,0.21313337877755056,0.23062940240854354,0.3004620162084375,0.19298644247519503,41.0,2.1861818181818187,0,106580.0,11.576651155850774,90.6573116691285
47-4031,Fence Erectors,-1.902113,-1.902112994750717,0.18137174660337207,0.2817155017187756,0.2664102144377148,0.19356686855459157,41.0,1.8418296375092056,0,46940.0,10.756625469405014,28.4711964549483
47-4041,Hazardous Materials Removal Workers,-0.6887439,-0.6887438937311761,0.2061350618028339,0.25844136267711787,0.2501507386192342,0.19716611395839614,41.0,2.322677722317686,0,48490.0,10.789112870099398,33.493353028064995
47-4051,Highway Maintenance Workers,-1.27909,-1.2790899942272183,0.18508228253900405,0.2976419462848187,0.2293225048087198,0.20104010828524613,41.0,1.8104,0,49070.0,10.801003129083949,35.3397341211226
47-4061,Rail-Track Laying and Maintenance Equipment Operators,-1.39906,-1.3990599943280235,0.19820710100938801,0.24677066421966545,0.2603938730853392,0.20660690336697962,41.0,1.6561454545454546,0,67370.0,11.117955093954706,65.39881831610043
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,-1.210591,-1.2105909941696613,0.20243840487680975,0.2535771738210143,0.2779612225891118,0.1976970620607908,41.0,1.623480529871169,0,49140.0,10.80242864607517,35.78286558345643
47-4091,Segmental Pavers,-0.9827304,-0.9827303939782001,0.17735042735042736,0.28824049513704686,0.24941055113468907,0.20667550839964632,41.0,1.9627636363636367,0,,,
47-4099,"Construction and Related Workers, All Other",-0.8728439,-0.8728438938858673,0.20181627663290255,0.25323087670275934,0.24876004191407614,0.20146699266503668,41.0,2.075127272727273,0,,,
47-5011,"Derrick Operators, Oil and Gas",-1.415002,-1.4150019943414192,0.1788248885954778,0.2575507509490015,0.3014523848819937,0.19499917478131704,41.0,1.3432343234323434,0,62740.0,11.046754481744669,58.75184638109305
